id,ema_pullback,ema_trend_h1,adx_period,adx_threshold,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
17,21,100,14,15,14,14,40,65,35,55,2.0,10000,6243.24,-3756.76,-37.57,-61.73,-0.18,-0.08,-1.42,43.44,318,33.02,0.8,-11.81,571.59,-246.32,0.00075,0.0005,38.24,-75.81
18,21,100,14,15,14,14,40,65,35,55,2.5,10000,6644.09,-3355.91,-33.56,-56.56,-0.13,-0.05,-1.3,43.56,257,33.85,0.81,-13.06,617.99,-319.98,0.00075,0.0005,38.24,-71.8
19,21,100,14,15,14,14,40,65,40,50,1.5,10000,8813.82,-1186.18,-11.86,-22.7,-0.04,-0.02,-0.87,25.97,374,33.96,0.94,-3.17,772.5,-251.04,0.00075,0.0005,38.24,-50.1
20,21,100,14,15,14,14,40,65,40,50,2.0,10000,7482.46,-2517.54,-25.18,-44.64,-0.1,-0.05,-1.56,28.69,292,33.9,0.86,-8.62,733.97,-283.53,0.00075,0.0005,38.24,-63.42
21,21,100,14,15,14,14,40,65,40,50,2.5,10000,8179.99,-1820.01,-18.2,-33.61,-0.06,-0.02,-1.05,31.99,239,35.15,0.9,-7.62,744.0,-388.35,0.00075,0.0005,38.24,-56.44
22,21,100,14,15,14,14,40,65,40,55,1.5,10000,8260.72,-1739.28,-17.39,-32.27,-0.07,-0.04,-0.99,32.5,395,33.42,0.91,-4.4,708.58,-235.11,0.00075,0.0005,38.24,-55.63
23,21,100,14,15,14,14,40,65,40,55,2.0,10000,6585.89,-3414.11,-34.14,-57.33,-0.15,-0.07,-1.49,38.56,309,32.69,0.81,-11.05,648.32,-249.55,0.00075,0.0005,38.24,-72.38
24,21,100,14,15,14,14,40,65,40,55,2.5,10000,7036.93,-2963.07,-29.63,-51.16,-0.12,-0.04,-1.28,40.09,248,33.87,0.83,-11.95,655.78,-334.08,0.00075,0.0005,38.24,-67.87
25,21,100,14,15,14,14,45,60,35,50,1.5,10000,7126.6,-2873.4,-28.73,-49.88,-0.14,-0.07,-1.43,34.98,377,33.42,0.83,-7.62,620.37,-215.96,0.00075,0.0005,38.24,-66.97
26,21,100,14,15,14,14,45,60,35,50,2.0,10000,7108.64,-2891.36,-28.91,-50.14,-0.13,-0.05,-1.45,34.49,288,35.07,0.83,-10.04,638.94,-272.53,0.00075,0.0005,38.24,-67.15
27,21,100,14,15,14,14,45,60,35,50,2.5,10000,7782.6,-2217.4,-22.17,-40.02,-0.08,-0.03,-1.18,34.04,236,35.59,0.87,-9.4,751.09,-374.81,0.00075,0.0005,38.24,-60.41
