id,ema_pullback,ema_trend_h1,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,time_exit_hour,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
309,50,100,14,14,40,65,40,50,2.5,23,10000,10475.87,475.87,4.76,9.94,0.04,0.01,0.39,25.58,215,40.47,1.04,2.21,804.74,-264.65,0.00075,0.0005,38.24,-33.48
310,50,100,14,14,40,65,40,55,1.5,23,10000,11202.71,1202.71,12.03,26.06,0.07,0.04,1.31,19.82,313,39.3,1.09,3.84,847.74,-166.31,0.00075,0.0005,38.24,-26.21
311,50,100,14,14,40,65,40,55,2.0,23,10000,9571.49,-428.51,-4.29,-8.54,-0.01,-0.0,-0.31,27.82,270,38.52,0.97,-1.59,757.26,-198.75,0.00075,0.0005,38.24,-42.53
312,50,100,14,14,40,65,40,55,2.5,23,10000,9371.55,-628.45,-6.28,-12.4,-0.02,-0.01,-0.4,31.35,242,38.84,0.95,-2.6,737.67,-249.07,0.00075,0.0005,38.24,-44.52
313,50,100,14,14,45,60,35,50,1.5,23,10000,9270.08,-729.92,-7.3,-14.32,-0.03,-0.01,-0.62,23.27,266,39.1,0.93,-2.74,767.94,-217.45,0.00075,0.0005,38.24,-45.54
314,50,100,14,14,45,60,35,50,2.0,23,10000,8940.01,-1059.99,-10.6,-20.43,-0.05,-0.02,-0.73,27.88,232,38.79,0.91,-4.57,730.92,-230.05,0.00075,0.0005,38.24,-48.84
315,50,100,14,14,45,60,35,50,2.5,23,10000,9053.54,-946.46,-9.46,-18.35,-0.04,-0.01,-0.62,29.66,203,39.41,0.92,-4.66,786.18,-292.06,0.00075,0.0005,38.24,-47.7
316,50,100,14,14,45,60,35,55,1.5,23,10000,9135.74,-864.26,-8.64,-16.83,-0.04,-0.02,-0.64,26.37,294,38.44,0.92,-2.94,730.2,-213.15,0.00075,0.0005,38.24,-46.88
317,50,100,14,14,45,60,35,55,2.0,23,10000,8220.27,-1779.73,-17.8,-32.94,-0.09,-0.04,-0.94,34.92,257,37.74,0.85,-6.93,653.7,-200.86,0.00075,0.0005,38.24,-56.04
318,50,100,14,14,45,60,35,55,2.5,23,10000,8686.14,-1313.86,-13.14,-24.97,-0.06,-0.02,-0.76,32.94,227,38.77,0.89,-5.79,736.61,-241.31,0.00075,0.0005,38.24,-51.38
319,50,100,14,14,45,60,40,50,1.5,23,10000,10710.62,710.62,7.11,15.03,0.05,0.02,0.88,17.0,238,41.6,1.08,2.99,852.26,-159.68,0.00075,0.0005,38.24,-31.13
320,50,100,14,14,45,60,40,50,2.0,23,10000,10473.72,473.72,4.74,9.9,0.04,0.01,0.42,23.56,208,40.87,1.05,2.28,858.33,-208.8,0.00075,0.0005,38.24,-33.5
321,50,100,14,14,45,60,40,50,2.5,23,10000,10499.12,499.12,4.99,10.44,0.04,0.01,0.41,25.65,180,41.67,1.05,2.77,841.32,-262.83,0.00075,0.0005,38.24,-33.25
322,50,100,14,14,45,60,40,55,1.5,23,10000,10251.07,251.07,2.51,5.19,0.03,0.01,0.24,21.69,269,40.15,1.02,0.93,787.05,-153.85,0.00075,0.0005,38.24,-35.73
323,50,100,14,14,45,60,40,55,2.0,23,10000,9333.87,-666.13,-6.66,-13.11,-0.02,-0.01,-0.41,31.79,236,39.41,0.94,-2.82,744.05,-200.86,0.00075,0.0005,38.24,-44.9
324,50,100,14,14,45,60,40,55,2.5,23,10000,9349.1,-650.9,-6.51,-12.82,-0.02,-0.01,-0.38,33.44,208,39.9,0.94,-3.13,742.47,-237.37,0.00075,0.0005,38.24,-44.75
325,50,100,14,14,45,65,35,50,1.5,23,10000,10050.05,50.05,0.5,1.02,0.02,0.01,0.06,17.51,294,38.44,1.0,0.17,833.8,-215.76,0.00075,0.0005,38.24,-37.74
326,50,100,14,14,45,65,35,50,2.0,23,10000,8762.22,-1237.78,-12.38,-23.62,-0.05,-0.02,-0.88,26.94,254,37.8,0.9,-4.87,717.52,-224.53,0.00075,0.0005,38.24,-50.62
327,50,100,14,14,45,65,35,50,2.5,23,10000,9094.59,-905.41,-9.05,-17.59,-0.03,-0.01,-0.61,28.9,225,38.67,0.93,-4.02,764.13,-282.37,0.00075,0.0005,38.24,-47.29
328,50,100,14,14,45,65,35,55,1.5,23,10000,9805.78,-194.22,-1.94,-3.92,0.0,0.0,-0.19,20.61,322,37.89,0.99,-0.6,783.94,-211.49,0.00075,0.0005,38.24,-40.18
329,50,100,14,14,45,65,35,55,2.0,23,10000,8353.17,-1646.83,-16.47,-30.71,-0.08,-0.03,-0.97,31.73,278,37.05,0.87,-5.92,664.49,-198.75,0.00075,0.0005,38.24,-54.71
330,50,100,14,14,45,65,35,55,2.5,23,10000,8765.89,-1234.11,-12.34,-23.55,-0.05,-0.02,-0.78,30.37,248,37.9,0.91,-4.98,743.67,-248.96,0.00075,0.0005,38.24,-50.58
331,50,100,14,14,45,65,40,50,1.5,23,10000,11606.37,1606.37,16.06,35.49,0.1,0.05,2.3,15.42,265,40.38,1.14,6.06,924.92,-175.18,0.00075,0.0005,38.24,-22.18
332,50,100,14,14,45,65,40,50,2.0,23,10000,10265.42,265.42,2.65,5.49,0.03,0.01,0.26,21.51,230,39.57,1.02,1.15,842.59,-211.08,0.00075,0.0005,38.24,-35.59
333,50,100,14,14,45,65,40,50,2.5,23,10000,10546.72,546.72,5.47,11.47,0.04,0.01,0.46,25.08,202,40.59,1.05,2.71,817.74,-260.23,0.00075,0.0005,38.24,-32.77
334,50,100,14,14,45,65,40,55,1.5,23,10000,10997.77,997.77,9.98,21.4,0.06,0.03,1.25,17.07,296,39.19,1.08,3.37,844.58,-164.8,0.00075,0.0005,38.24,-28.26
335,50,100,14,14,45,65,40,55,2.0,23,10000,9484.78,-515.22,-5.15,-10.22,-0.01,-0.01,-0.36,28.45,257,38.52,0.96,-2.0,756.34,-198.75,0.00075,0.0005,38.24,-43.39
