id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
71,9,26,100,20,7,2.5,10000,8249.3,-1750.7,-17.51,-32.46,-0.12,-0.03,-1.34,24.25,147,27.21,0.77,-11.91,501.41,-197.26,0.00075,0.0005,38.24,-55.75

72,9,26,100,20,7,3.0,10000,8140.82,-1859.18,-18.59,-34.26,-0.13,-0.03,-1.36,25.25,147,27.89,0.76,-12.65,493.4,-231.55,0.00075,0.0005,38.24,-56.83

73,9,26,150,14,3,2.0,10000,10508.36,508.36,5.08,10.64,0.04,0.02,0.58,18.27,180,27.78,1.05,2.82,1152.8,-171.03,0.00075,0.0005,38.24,-33.16

74,9,26,150,14,3,2.5,10000,10838.1,838.1,8.38,17.83,0.05,0.02,0.93,19.2,180,29.44,1.08,4.66,1185.75,-216.58,0.00075,0.0005,38.24,-29.86

75,9,26,150,14,3,3.0,10000,10991.21,991.21,9.91,21.25,0.06,0.02,1.29,16.52,180,30.56,1.09,5.51,1171.89,-238.02,0.00075,0.0005,38.24,-28.33

76,9,26,150,14,5,2.0,10000,9537.23,-462.77,-4.63,-9.21,-0.01,-0.01,-0.48,19.3,162,29.63,0.95,-2.86,1138.67,-177.53,0.00075,0.0005,38.24,-42.87

77,9,26,150,14,5,2.5,10000,9868.41,-131.59,-1.32,-2.66,0.01,0.0,-0.14,19.68,162,30.86,0.99,-0.81,1154.79,-223.66,0.00075,0.0005,38.24,-39.56

78,9,26,150,14,5,3.0,10000,9928.92,-71.08,-0.71,-1.44,0.01,0.0,-0.08,17.2,162,32.1,0.99,-0.44,1136.31,-262.89,0.00075,0.0005,38.24,-38.95

79,9,26,150,14,7,2.0,10000,9457.19,-542.81,-5.43,-10.76,-0.02,-0.01,-0.53,20.39,161,26.71,0.94,-3.37,1124.26,-163.63,0.00075,0.0005,38.24,-43.67

80,9,26,150,14,7,2.5,10000,10436.69,436.69,4.37,9.11,0.04,0.01,0.43,21.31,161,28.57,1.04,2.71,1221.24,-220.94,0.00075,0.0005,38.24,-33.87

81,9,26,150,14,7,3.0,10000,10538.12,538.12,5.38,11.28,0.04,0.01,0.59,19.25,161,29.81,1.05,3.34,1209.02,-237.67,0.00075,0.0005,38.24,-32.86

82,9,26,150,20,3,2.0,10000,9373.34,-626.66,-6.27,-12.36,-0.02,-0.01,-0.71,17.38,173,26.01,0.93,-3.62,1092.33,-161.62,0.00075,0.0005,38.24,-44.51

83,9,26,150,20,3,2.5,10000,9650.45,-349.55,-3.5,-7.0,-0.0,-0.0,-0.38,18.47,173,27.17,0.97,-2.02,1119.73,-205.37,0.00075,0.0005,38.24,-41.74

84,9,26,150,20,3,3.0,10000,9442.89,-557.11,-5.57,-11.03,-0.01,-0.01,-0.63,17.47,173,27.75,0.95,-3.22,1094.61,-239.87,0.00075,0.0005,38.24,-43.81

85,9,26,150,20,5,2.0,10000,9635.89,-364.11,-3.64,-7.28,-0.01,-0.0,-0.39,18.46,151,29.8,0.96,-2.41,1134.31,-165.04,0.00075,0.0005,38.24,-41.88

86,9,26,150,20,5,2.5,10000,10176.83,176.83,1.77,3.64,0.02,0.01,0.2,18.54,151,31.13,1.02,1.17,1166.09,-209.66,0.00075,0.0005,38.24,-36.47

87,9,26,150,20,5,3.0,10000,9962.59,-37.41,-0.37,-0.76,0.01,0.0,-0.04,17.36,151,31.79,1.0,-0.25,1139.93,-244.79,0.00075,0.0005,38.24,-38.61

88,9,26,150,20,7,2.0,10000,8589.36,-1410.64,-14.11,-26.66,-0.1,-0.03,-1.26,21.13,146,27.4,0.81,-9.66,518.84,-164.41,0.00075,0.0005,38.24,-52.35

89,9,26,150,20,7,2.5,10000,8713.39,-1286.61,-12.87,-24.48,-0.08,-0.02,-1.22,19.99,146,28.08,0.83,-8.81,511.12,-200.44,0.00075,0.0005,38.24,-51.11

90,9,26,150,20,7,3.0,10000,8604.8,-1395.2,-13.95,-26.39,-0.09,-0.02,-1.26,20.98,146,28.77,0.82,-9.56,502.95,-235.29,0.00075,0.0005,38.24,-52.19

91,9,26,200,14,3,2.0,10000,10461.37,461.37,4.61,9.63,0.04,0.02,0.52,18.68,173,27.75,1.05,2.67,1127.76,-168.31,0.00075,0.0005,38.24,-33.63

92,9,26,200,14,3,2.5,10000,10353.31,353.31,3.53,7.34,0.03,0.01,0.38,19.44,173,28.9,1.03,2.04,1107.56,-203.51,0.00075,0.0005,38.24,-34.71

93,9,26,200,14,3,3.0,10000,10522.1,522.1,5.22,10.94,0.04,0.02,0.64,17.1,173,30.06,1.05,3.02,1094.59,-236.38,0.00075,0.0005,38.24,-33.02

94,9,26,200,14,5,2.0,10000,8949.1,-1050.9,-10.51,-20.26,-0.05,-0.02,-0.87,23.31,156,26.92,0.88,-6.74,1105.26,-173.39,0.00075,0.0005,38.24,-48.75

95,9,26,200,14,5,2.5,10000,8863.87,-1136.13,-11.36,-21.8,-0.05,-0.02,-0.92,23.77,156,27.56,0.87,-7.28,1071.61,-208.83,0.00075,0.0005,38.24,-49.6

96,9,26,200,14,5,3.0,10000,8978.72,-1021.28,-10.21,-19.72,-0.05,-0.02,-0.93,21.1,156,28.85,0.89,-6.55,1054.45,-245.46,0.00075,0.0005,38.24,-48.45

97,9,26,200,14,7,2.0,10000,9564.09,-435.91,-4.36,-8.69,-0.01,-0.01,-0.4,21.72,154,26.62,0.95,-2.83,1129.46,-165.07,0.00075,0.0005,38.24,-42.6

98,9,26,200,14,7,2.5,10000,9493.55,-506.45,-5.06,-10.06,-0.02,-0.01,-0.45,22.46,154,27.27,0.94,-3.29,1104.21,-200.6,0.00075,0.0005,38.24,-43.3

99,9,26,200,14,7,3.0,10000,9638.87,-361.13,-3.61,-7.23,-0.01,-0.0,-0.37,19.74,154,28.57,0.96,-2.35,1093.17,-237.67,0.00075,0.0005,38.24,-41.85

100,9,26,200,20,3,2.0,10000,9307.72,-692.28,-6.92,-13.61,-0.02,-0.01,-0.76,17.98,167,25.75,0.93,-4.15,1068.82,-159.09,0.00075,0.0005,38.24,-45.16

101,9,26,200,20,3,2.5,10000,9159.33,-840.67,-8.41,-16.39,-0.03,-0.01,-0.85,19.2,167,26.35,0.91,-5.03,1046.0,-193.0,0.00075,0.0005,38.24,-46.65

102,9,26,200,20,3,3.0,10000,9001.31,-998.69,-9.99,-19.31,-0.04,-0.01,-0.94,20.48,167,26.95,0.9,-5.98,1022.41,-225.38,0.00075,0.0005,38.24,-48.23

103,9,26,200,20,5,2.0,10000,9412.56,-587.44,-5.87,-11.61,-0.02,-0.01,-0.52,22.39,147,28.57,0.93,-4.0,1123.7,-164.47,0.00075,0.0005,38.24,-44.11

104,9,26,200,20,5,2.5,10000,9467.81,-532.19,-5.32,-10.55,-0.02,-0.01,-0.46,22.85,147,29.25,0.94,-3.62,1102.86,-199.47,0.00075,0.0005,38.24,-43.56

105,9,26,200,20,5,3.0,10000,9351.84,-648.16,-6.48,-12.77,-0.02,-0.01,-0.6,21.23,147,29.93,0.93,-4.41,1077.98,-232.87,0.00075,0.0005,38.24,-44.72

106,9,26,200,20,7,2.0,10000,8366.47,-1633.53,-16.34,-30.49,-0.12,-0.04,-1.32,23.17,142,26.76,0.78,-11.5,511.61,-162.79,0.00075,0.0005,38.24,-54.58

107,9,26,200,20,7,2.5,10000,8459.78,-1540.22,-15.4,-28.9,-0.11,-0.03,-1.29,22.32,142,27.46,0.8,-10.85,504.0,-198.47,0.00075,0.0005,38.24,-53.64

108,9,26,200,20,7,3.0,10000,8374.75,-1625.25,-16.25,-30.35,-0.11,-0.03,-1.31,23.1,142,28.17,0.79,-11.45,495.95,-232.98,0.00075,0.0005,38.24,-54.49

109,9,30,100,14,3,2.0,10000,10400.39,400.39,4.0,8.33,0.03,0.02,0.42,20.08,172,24.42,1.04,2.33,1073.24,-201.29,0.00075,0.0005,38.24,-34.24

110,9,30,100,14,3,2.5,10000,10513.54,513.54,5.14,10.75,0.04,0.02,0.56,19.3,172,25.0,1.05,2.99,1097.53,-255.13,0.00075,0.0005,38.24,-33.1

111,9,30,100,14,3,3.0,10000,11197.42,1197.42,11.97,25.94,0.07,0.03,1.31,19.87,172,26.74,1.1,6.96,1114.17,-310.33,0.00075,0.0005,38.24,-26.27

112,9,30,100,14,5,2.0,10000,9744.84,-255.16,-2.55,-5.13,-0.0,-0.0,-0.2,25.77,160,27.5,0.97,-1.59,1001.52,-200.33,0.00075,0.0005,38.24,-40.79

113,9,30,100,14,5,2.5,10000,9866.73,-133.27,-1.33,-2.7,0.01,0.0,-0.11,25.01,160,28.12,0.99,-0.83,1017.34,-240.14,0.00075,0.0005,38.24,-39.57

114,9,30,100,14,5,3.0,10000,9910.21,-89.79,-0.9,-1.82,0.01,0.0,-0.07,25.4,160,29.38,0.99,-0.56,1032.77,-292.09,0.00075,0.0005,38.24,-39.14

115,9,30,100,14,7,2.0,10000,9376.64,-623.36,-6.23,-12.3,-0.02,-0.01,-0.49,24.89,156,25.64,0.93,-4.0,991.65,-190.51,0.00075,0.0005,38.24,-44.47

116,9,30,100,14,7,2.5,10000,10126.55,126.55,1.27,2.6,0.02,0.01,0.11,23.79,156,26.92,1.01,0.81,1070.69,-248.81,0.00075,0.0005,38.24,-36.97

117,9,30,100,14,7,3.0,10000,10253.88,253.88,2.54,5.25,0.03,0.01,0.22,24.17,156,28.21,1.03,1.63,1094.86,-304.19,0.00075,0.0005,38.24,-35.7

118,9,30,100,20,3,2.0,10000,8600.58,-1399.42,-13.99,-26.46,-0.07,-0.03,-1.28,20.6,167,22.75,0.85,-8.38,692.86,-169.65,0.00075,0.0005,38.24,-52.23

119,9,30,100,20,3,2.5,10000,9677.08,-322.92,-3.23,-6.47,-0.0,-0.0,-0.35,18.49,167,23.95,0.97,-1.93,987.73,-216.68,0.00075,0.0005,38.24,-41.47

120,9,30,100,20,3,3.0,10000,9694.67,-305.33,-3.05,-6.13,0.0,0.0,-0.31,19.69,167,24.55,0.97,-1.83,962.76,-253.55,0.00075,0.0005,38.24,-41.29

121,9,30,100,20,5,2.0,10000,9122.96,-877.04,-8.77,-17.07,-0.04,-0.02,-0.74,22.95,147,27.89,0.89,-5.97,777.33,-174.38,0.00075,0.0005,38.24,-47.01

122,9,30,100,20,5,2.5,10000,10424.17,424.17,4.24,8.84,0.04,0.01,0.39,22.67,147,29.25,1.05,2.89,1046.37,-222.65,0.00075,0.0005,38.24,-34.0

123,9,30,100,20,5,3.0,10000,9923.42,-76.58,-0.77,-1.56,0.01,0.0,-0.07,23.8,147,29.25,0.99,-0.52,1023.38,-260.46,0.00075,0.0005,38.24,-39.01

124,9,30,100,20,7,2.0,10000,9032.62,-967.38,-9.67,-18.74,-0.05,-0.02,-0.82,22.93,140,26.43,0.88,-6.91,754.6,-176.29,0.00075,0.0005,38.24,-47.91

125,9,30,100,20,7,2.5,10000,9857.25,-142.75,-1.43,-2.89,0.01,0.0,-0.13,22.62,140,27.14,0.98,-1.02,1006.5,-215.26,0.00075,0.0005,38.24,-39.67

126,9,30,100,20,7,3.0,10000,9476.23,-523.77,-5.24,-10.39,-0.01,-0.0,-0.44,23.42,140,27.14,0.94,-3.74,990.7,-253.42,0.00075,0.0005,38.24,-43.48

127,9,30,150,14,3,2.0,10000,10952.53,952.53,9.53,20.39,0.06,0.03,1.14,17.96,177,25.42,1.09,5.38,1079.27,-204.54,0.00075,0.0005,38.24,-28.71

128,9,30,150,14,3,2.5,10000,11177.69,1177.69,11.78,25.49,0.07,0.03,1.49,17.12,177,25.99,1.1,6.65,1108.38,-259.26,0.00075,0.0005,38.24,-26.46

